Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
0,5.966,5.859,3.02067,33.4487,52.5532,0.0005
0,5.867,5.747,3.01342,33.4906,52.4379,0.0005
1,5.461,5.365,0.74238,80.7801,95.1452,0.0005
2,5.328,5.226,0.29742,91.1922,98.8676,0.0005
3,5.328,5.23,0.19073,94.3169,99.5177,0.0005
4,5.207,5.098,0.10932,96.8648,99.8217,0.0005
5,5.147,5.051,0.05836,98.3118,99.9476,5e-05
6,5.117,5.018,0.03952,98.9095,99.9581,5e-05
7,5.088,4.975,0.03456,99.0563,99.979,5e-05
8,5.087,4.973,0.03101,99.2241,99.979,5e-06
9,4.977,4.877,0.03049,99.287,99.9895,5e-06
10,4.977,4.874,0.03039,99.1402,99.9685,5e-06
11,4.802,4.693,0.03404,99.0982,99.979,5e-07
12,4.933,4.828,0.02942,99.2136,99.979,5e-07
13,5.073,4.963,0.03306,99.1192,99.9895,5e-08
14,5.126,5.032,0.03022,99.1716,99.9685,5e-08
15,5.049,4.945,0.03582,99.0563,99.9581,5e-09
16,5.029,4.93,0.02961,99.3394,99.979,5e-09
17,5.003,4.899,0.03191,99.1402,99.9581,5e-09
18,5.142,5.026,0.03267,99.0353,99.9685,5e-09
19,5.088,4.963,0.03072,99.2241,99.9685,5e-09
20,5.037,4.919,0.02848,99.3184,99.979,5e-09
21,5.192,5.072,0.03942,99.1297,99.9056,5e-09
22,5.116,4.998,0.03437,99.0982,99.9581,5e-09
23,5.046,4.929,0.02978,99.287,99.9895,5e-09
24,5.25,5.129,0.02891,99.2346,99.9895,5e-09
25,5.802,5.689,0.0314,99.2136,99.9371,5e-09
26,5.699,5.574,0.03517,99.0039,99.9371,5e-09
